Name,Tm,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,FIP,WHIP,H9,BB,SO9,DateTime
Chad Green,NYY,0,2,16.43,10,0,0,7.2,15,14,14,4,4,7,10.05,2.478,17.6,4,8.2,2019-05-04 10:49:57
Shane Greene,DET,0,1,1.38,13,0,11,13.0,5,2,2,1,3,14,2.9,0.615,3.5,3,9.7,2019-05-04 10:49:57
Zack Greinke,ARI,4,1,3.72,6,6,0,36.1,29,16,15,8,7,39,4.43,0.991,7.2,7,9.7,2019-05-04 10:49:57
Junior Guerra,MIL,1,0,1.29,11,0,1,14.0,6,2,2,2,7,7,5.49,0.929,3.9,7,4.5,2019-05-04 10:49:57
Tayron Guerrero,MIA,1,0,0.82,12,0,0,11.0,5,1,1,0,7,13,3.22,1.091,4.1,7,10.6,2019-05-04 10:49:57
Josh Hader,MIL,0,2,3.21,10,0,6,14.0,6,5,5,3,4,29,2.63,0.7140000000000001,3.9,4,18.6,2019-05-04 10:49:57
Cole Hamels,CHC,3,0,3.16,5,5,0,31.1,22,11,11,4,9,30,3.74,0.9890000000000001,6.3,9,8.6,2019-05-04 10:49:57
Brad Hand,CLE,0,1,1.42,13,0,8,12.2,8,2,2,0,4,18,1.48,0.9470000000000001,5.7,4,12.8,2019-05-04 10:49:57
J.A. Happ,NYY,1,2,4.68,6,6,0,32.2,33,17,17,7,8,24,5.18,1.255,9.1,8,6.6,2019-05-04 10:49:57
Blaine Hardy,DET,1,0,6.0,8,0,0,12.0,8,8,8,2,2,8,4.47,0.833,6.0,2,6.0,2019-05-04 10:49:57
Matt Harvey,LAA,0,2,8.03,5,5,0,24.2,29,23,22,5,10,16,5.93,1.581,10.6,10,5.8,2019-05-04 10:49:57
Taylor Hearn,TEX,0,1,108.0,1,1,0,0.1,3,5,4,0,4,0,39.13,21.0,81.0,4,0.0,2019-05-04 10:49:57
Jeremy Hellickson,WSN,2,0,4.34,4,3,0,18.2,20,9,9,2,10,10,5.06,1.607,9.6,10,4.8,2019-05-04 10:49:57
Kyle Hendricks,CHC,1,4,5.33,5,5,0,25.1,37,21,15,3,8,24,3.73,1.776,13.1,8,8.5,2019-05-04 10:49:57
David Hernandez,CIN,0,1,2.53,12,0,1,10.2,12,3,3,0,5,10,2.66,1.594,10.1,5,8.4,2019-05-04 10:49:57
Felix Hernandez,SEA,1,2,3.91,5,5,0,25.1,28,13,11,3,3,21,3.73,1.224,9.9,3,7.5,2019-05-04 10:49:57
